Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Latitude,Longitude,Order City,Order Country,Order State
74194,2017-12-24 01:06:00,Standard Class,5,4,Late delivery,1,42.33480835,-74.93064117,Mangalore,India,Karnataka
72458,2017-11-27 16:54:00,Standard Class,4,4,Shipping on time,0,26.11927223,-80.18818665,Kathmandu,Nepal,Central
25050,2016-01-07 15:46:00,Standard Class,6,4,Late delivery,1,25.90687752,-97.49913788,Mumbai,India,Maharashtra
74451,2017-12-24 19:09:00,Standard Class,2,4,Advance shipping,0,41.52561569,-88.40119934,Kendari,Indonesia,Célebes Suroriental
22297,2015-11-25 11:16:00,Standard Class,3,4,Advance shipping,0,34.02827454,-118.2391357,Probolinggo,Indonesia,Java Oriental
24552,2015-12-28 09:18:00,Standard Class,3,4,Advance shipping,0,37.49027634,-121.9271088,Ho Chi Minh City,Vietnam,Ciudad Ho Chi Minh
44706,2016-10-16 14:09:00,Standard Class,2,4,Advance shipping,0,41.23169327,-81.84801483,Riyadh,Arabia Saudí,Riad
48950,2016-12-21 13:00:00,Standard Class,6,4,Late delivery,1,34.03303146,-117.6386414,Estambul,Turquía,Estambul
47600,2016-12-01 20:02:00,Standard Class,6,4,Late delivery,1,34.06787491,-117.9273758,Estambul,Turquía,Estambul
47044,2016-11-22 17:15:00,Standard Class,5,4,Late delivery,1,33.72333527,-117.9960556,Jeddah,Arabia Saudí,Meca
43257,2016-09-26 10:30:00,Standard Class,3,4,Advance shipping,0,33.21295548,-117.2749176,Estambul,Turquía,Estambul
49888,2017-01-02 05:38:00,Standard Class,4,4,Shipping on time,0,32.52082825,-84.88657379,Estambul,Turquía,Estambul
42130,2016-09-12 23:39:00,Standard Class,6,4,Late delivery,1,29.38037109,-98.6422348,Temirtau,Kazajistán,Karagandá
24752,2015-12-31 07:22:00,Standard Class,3,4,Advance shipping,0,38.11615372,-121.3949966,Jixi,China,Heilongjiang
24548,2015-12-29 07:54:00,Standard Class,4,4,Shipping on time,0,34.04621506,-118.1860352,Daegu,Corea del Sur,Daegu
73906,2017-12-16 20:12:00,Standard Class,2,4,Advance shipping,0,41.50205994,-74.01177216,Tianjin,China,Tianjin
27729,2016-02-14 18:21:00,Standard Class,5,4,Late delivery,1,34.23563004,-118.4847031,Adelaide,Australia,Australia del Sur
28355,2016-02-24 21:40:00,Standard Class,6,4,Late delivery,1,26.21472931,-80.23004913,Darwin,Australia,Territorio del Norte
23456,2015-12-11 09:19:00,Standard Class,2,4,Advance shipping,0,36.72526169,-119.7846375,Sydney,Australia,Nueva Gales del Sur
74193,2017-12-23 00:45:00,Standard Class,4,4,Shipping on time,0,37.44713593,-121.9091797,Mangalore,India,Karnataka
50466,2017-01-08 16:08:00,Standard Class,2,4,Advance shipping,0,33.99020767,-117.9262314,Rasht,Irán,Guilán
50377,2017-01-08 08:57:00,Standard Class,3,4,Advance shipping,0,43.02910233,-78.87342072,Ahvaz,Irán,Juzestán
61855,2017-06-27 22:12:00,Standard Class,6,4,Late delivery,1,33.89164734,-118.299408,Arnsberg,Alemania,Renania del Norte-Westfalia
67415,2017-09-17 02:07:00,Standard Class,6,4,Late delivery,1,30.49506187,-84.24580383,London,Reino Unido,Inglaterra
66794,2017-09-07 00:33:00,Standard Class,5,4,Late delivery,1,41.86019898,-87.76747131,Dublín,Irlanda,Dublín
17467,2015-09-15 23:07:00,Standard Class,3,4,Advance shipping,0,44.0263443,-123.0935287,Birmingham,Reino Unido,Inglaterra
16419,2015-09-02 15:57:00,Standard Class,5,4,Late delivery,1,34.06435013,-118.437088,Genoa,Italia,Liguria
65249,2017-08-15 11:16:00,Standard Class,5,4,Late delivery,1,33.93642426,-117.4205856,Toulouse,Francia,Languedoc-Rosellón-Mediodía-Pirineos
17449,2015-09-17 16:48:00,Standard Class,5,4,Late delivery,1,35.70111466,-79.82025147,Amsterdam,Países Bajos,Holanda Septentrional
63803,2017-07-24 08:40:00,Standard Class,4,4,Shipping on time,0,43.8122406,-91.24485779,Toulouse,Francia,Languedoc-Rosellón-Mediodía-Pirineos
16969,2015-09-10 16:38:00,Standard Class,5,4,Late delivery,1,38.79660034,-90.34640503,Waterlooville,Reino Unido,Inglaterra
16369,2015-09-01 22:26:00,Standard Class,5,4,Late delivery,1,33.04647064,-117.2896729,Berlín,Alemania,Berlín
66702,2017-09-03 16:19:00,Standard Class,3,4,Advance shipping,0,35.30461502,-119.0659714,Leipzig,Alemania,Sajonia
10584,2015-06-09 11:41:00,Standard Class,5,4,Late delivery,1,34.28066635,-119.2400665,Drancy,Francia,Isla de Francia
17368,2015-09-15 12:26:00,Standard Class,4,4,Shipping on time,0,42.43708038,-76.48168945,Munich,Alemania,Bavaria
20291,2015-10-26 04:29:00,Standard Class,2,4,Advance shipping,0,40.58441544,-74.15991974,Hamburgo,Alemania,Hamburgo
14384,2015-08-03 23:00:00,Standard Class,5,4,Late delivery,1,34.09960938,-118.3507385,Vanves,Francia,Isla de Francia
64066,2017-07-26 04:49:00,Standard Class,2,4,Advance shipping,0,40.60349274,-75.472435,Madrid,España,Madrid
67292,2017-09-12 07:02:00,Standard Class,3,4,Advance shipping,0,34.64638138,-120.4619675,Meyzieu,Francia,Auvernia-Ródano-Alpes
65855,2017-08-25 07:35:00,Standard Class,6,4,Late delivery,1,33.13901901,-117.0928192,Bremerhaven,Alemania,Bremen
64531,2017-08-01 23:44:00,Standard Class,2,4,Advance shipping,0,38.01199341,-122.1196899,Viena,Austria,Viena
19168,2015-10-11 19:03:00,Standard Class,4,4,Shipping on time,0,42.5804596,-83.15601349,Mulhouse,Francia,Alsacia-Champaña-Ardenas-Lorena
16299,2015-08-31 21:54:00,Standard Class,5,4,Late delivery,1,38.72323608,-90.06681824,Sunderland,Reino Unido,Inglaterra
17228,2015-09-13 11:23:00,Standard Class,4,4,Shipping on time,0,36.19946671,-115.1088638,Dortmund,Alemania,Renania del Norte-Westfalia
68289,2017-09-28 20:19:00,Standard Class,5,4,Late delivery,1,38.86595917,-77.13325501,Hamburgo,Alemania,Hamburgo
47509,2016-11-29 12:10:00,Standard Class,5,4,Late delivery,1,43.01396942,-78.87906647,Lviv,Ucrania,Lviv
17211,2015-09-11 05:25:00,Standard Class,2,4,Advance shipping,0,42.60966873,-83.16378784,Leicester,Reino Unido,Inglaterra
64894,2017-08-10 06:54:00,Standard Class,5,4,Late delivery,1,34.26791382,-118.6712112,Ulm,Alemania,Baden-Wurtemberg
67818,2017-09-20 23:18:00,Standard Class,4,4,Shipping on time,0,41.6280365,-70.92701721,Chelles,Francia,Isla de Francia
16218,2015-08-29 17:32:00,Standard Class,4,4,Shipping on time,0,33.41519928,-111.9199905,Marbella,España,Andalucía
11391,2015-06-18 06:25:00,Standard Class,2,4,Advance shipping,0,40.20003891,-77.24391937,Florence,Italia,Toscana
17386,2015-09-13 18:44:00,Standard Class,2,4,Advance shipping,0,32.77589798,-96.68588257,Madrid,España,Madrid
11968,2015-06-28 16:34:00,Standard Class,4,4,Shipping on time,0,38.54666138,-121.7412109,Cologne,Alemania,Renania del Norte-Westfalia
46305,2016-11-12 22:21:00,Standard Class,6,4,Late delivery,1,40.67771912,-73.96311951,Kashira,Rusia,Moscú
16218,2015-08-29 17:32:00,Standard Class,4,4,Shipping on time,0,33.41519928,-111.9199905,Marbella,España,Andalucía
19973,2015-10-23 13:04:00,Standard Class,4,4,Shipping on time,0,33.32296753,-111.8416901,Cholet,Francia,Países del Loira
15787,2015-08-22 10:32:00,Standard Class,3,4,Advance shipping,0,33.30039215,-111.8709564,Bochum,Alemania,Renania del Norte-Westfalia
11378,2015-06-20 01:52:00,Standard Class,4,4,Shipping on time,0,33.86329651,-117.9716263,Annecy,Francia,Auvernia-Ródano-Alpes
62260,2017-07-03 20:06:00,Standard Class,6,4,Late delivery,1,41.95449448,-87.65029144,Magdeburg,Alemania,Sajonia-Anhalt
11083,2015-06-15 18:31:00,Standard Class,4,4,Shipping on time,0,42.03330612,-88.29245758,Amberes,Bélgica,Amberes
65174,2017-08-14 09:00:00,Standard Class,5,4,Late delivery,1,40.08877564,-75.2024765,Nuremberg,Alemania,Bavaria
44442,2016-10-13 17:39:00,Standard Class,3,4,Advance shipping,0,34.5802269,-118.0599518,Makhachkala,Rusia,Daguestán
42783,2016-09-20 12:26:00,Standard Class,4,4,Shipping on time,0,40.64059448,-73.97518921,Cheliábinsk,Rusia,Cheliábinsk
64677,2017-08-05 02:53:00,Standard Class,3,4,Advance shipping,0,43.02910233,-78.87342072,Madrid,España,Madrid
66219,2017-08-29 15:06:00,Standard Class,5,4,Late delivery,1,21.28050232,-157.6785278,Wiesbaden,Alemania,Hesse
44816,2016-10-18 04:41:00,Standard Class,2,4,Advance shipping,0,40.67998123,-73.4734726,Sterlitamak,Rusia,Bashkortostán
47002,2016-11-20 02:32:00,Standard Class,3,4,Advance shipping,0,47.30304337,-122.3528137,Gdynia,Polonia,Pomerania
10502,2015-06-06 06:58:00,Standard Class,3,4,Advance shipping,0,33.98764038,-118.2705536,San Sebastian,España,País Vasco
63843,2017-07-24 22:41:00,Standard Class,4,4,Shipping on time,0,34.0816536,-118.1783524,Brandenburgo,Alemania,Brandenburgo
62237,2017-06-30 12:02:00,Standard Class,3,4,Advance shipping,0,33.66559982,-117.8830566,Wetzlar,Alemania,Hesse
13907,2015-07-25 23:53:00,Standard Class,3,4,Advance shipping,0,38.02914047,-121.8859177,Pertuis,Francia,Provenza-Alpes-Costa Azul
63576,2017-07-19 01:09:00,Standard Class,2,4,Advance shipping,0,40.72789002,-74.01309967,Torrevieja,España,Valenciana
18448,2015-10-01 06:48:00,Standard Class,4,4,Shipping on time,0,32.71303558,-96.69631958,Florence,Italia,Toscana
17524,2015-09-18 19:05:00,Standard Class,5,4,Late delivery,1,33.99481583,-118.3429413,Cagnes-sur-Mer,Francia,Provenza-Alpes-Costa Azul
19333,2015-10-14 04:51:00,Standard Class,4,4,Shipping on time,0,39.74662018,-104.8164368,Nanterre,Francia,Isla de Francia
64150,2017-07-31 10:15:00,Standard Class,6,4,Late delivery,1,40.24931717,-75.25538635,Sunderland,Reino Unido,Inglaterra
64920,2017-08-11 16:01:00,Standard Class,6,4,Late delivery,1,39.81664658,-74.98467255,Vichy,Francia,Auvernia
16378,2015-09-01 01:35:00,Standard Class,4,4,Shipping on time,0,32.75856018,-117.0881882,Barcelona,España,Cataluña
67331,2017-09-11 20:41:00,Standard Class,2,4,Advance shipping,0,28.48579979,-81.30467224,Viena,Austria,Viena
67037,2017-09-08 13:41:00,Standard Class,3,4,Advance shipping,0,42.5804596,-83.15601349,Lohne,Alemania,Baja Sajonia
63349,2017-07-18 17:37:00,Standard Class,5,4,Late delivery,1,39.79224014,-76.73596191,Le Mans,Francia,Países del Loira
19309,2015-10-14 20:27:00,Standard Class,5,4,Late delivery,1,36.82411957,-76.12789154,Bordeaux,Francia,Aquitania-Lemosín-Poitou-Charentes
49936,2016-12-31 22:27:00,Standard Class,2,4,Advance shipping,0,34.09960938,-118.3507385,Astracán,Rusia,Astracán
11749,2015-06-26 11:50:00,Standard Class,5,4,Late delivery,1,36.05351639,-119.0251923,Rome,Italia,Lacio
49936,2016-12-31 22:27:00,Standard Class,2,4,Advance shipping,0,34.09960938,-118.3507385,Astracán,Rusia,Astracán
16767,2015-09-05 17:52:00,Standard Class,3,4,Advance shipping,0,33.53858185,-112.1873779,Toulouse,Francia,Languedoc-Rosellón-Mediodía-Pirineos
61664,2017-06-24 03:17:00,Standard Class,5,4,Late delivery,1,33.9031601,-117.9898758,Rouen,Francia,Normandía
63512,2017-07-19 02:43:00,Standard Class,3,4,Advance shipping,0,41.95346451,-87.73246002,Stuttgart,Alemania,Baden-Wurtemberg
17726,2015-09-18 17:51:00,Standard Class,2,4,Advance shipping,0,37.3288765,-121.8501511,Torrevieja,España,Valenciana
12540,2015-07-09 00:58:00,Standard Class,6,4,Late delivery,1,33.66559982,-117.8830566,Peterborough,Reino Unido,Inglaterra
14100,2015-07-31 19:30:00,Standard Class,6,4,Late delivery,1,40.76157761,-73.97176361,Leeds,Reino Unido,Inglaterra
16098,2015-08-27 23:29:00,Standard Class,4,4,Shipping on time,0,41.99694061,-72.59446716,Milan,Italia,Lombardía
14660,2015-08-08 23:42:00,Standard Class,6,4,Late delivery,1,43.58177948,-116.3938828,Montecatini Terme,Italia,Toscana
41718,2016-09-04 23:19:00,Standard Class,4,4,Shipping on time,0,34.26791382,-118.6712112,Viena,Austria,Viena
64500,2017-08-05 12:52:00,Standard Class,6,4,Late delivery,1,44.07599258,-120.9686584,The Hague,Países Bajos,Holanda Meridional
10586,2015-06-06 12:23:00,Standard Class,2,4,Advance shipping,0,39.98654556,-75.1084671,Drancy,Francia,Isla de Francia
45291,2016-10-25 03:06:00,Standard Class,2,4,Advance shipping,0,26.01622772,-97.55728912,Warsaw,Polonia,Mazovia
15459,2015-08-19 15:37:00,Standard Class,5,4,Late delivery,1,34.06943131,-117.9799881,Huelva,España,Andalucía
16093,2015-08-27 21:44:00,Standard Class,4,4,Shipping on time,0,41.36125946,-82.11012268,Reggio nell'Emilia,Italia,Emilia-Romaña
10584,2015-06-09 11:41:00,Standard Class,5,4,Late delivery,1,34.28066635,-119.2400665,Drancy,Francia,Isla de Francia
61596,2017-06-20 03:28:00,Standard Class,2,4,Advance shipping,0,41.89517212,-87.73634338,Le Bouscat,Francia,Aquitania-Lemosín-Poitou-Charentes
68374,2017-09-30 02:06:00,Standard Class,5,4,Late delivery,1,39.13785553,-76.81587219,Berlín,Alemania,Berlín
50588,2017-01-12 10:52:00,Standard Class,4,4,Shipping on time,0,34.0086174,-117.7501831,Derbent,Rusia,Daguestán
42087,2016-09-09 08:36:00,Standard Class,3,4,Advance shipping,0,39.95473099,-75.20536804,Warsaw,Polonia,Mazovia
13528,2015-07-21 11:06:00,Standard Class,4,4,Shipping on time,0,34.2395134,-119.1972198,Edinburgh,Reino Unido,Escocia
18135,2015-09-28 17:08:00,Standard Class,6,4,Late delivery,1,41.88359833,-88.10980988,London,Reino Unido,Inglaterra
15199,2015-08-15 20:32:00,Standard Class,5,4,Late delivery,1,40.7571907,-74.02506256,Crewe,Reino Unido,Inglaterra
68369,2017-09-30 00:21:00,Standard Class,5,4,Late delivery,1,35.18754196,-101.8676224,Paris,Francia,Isla de Francia
46859,2016-11-20 00:26:00,Standard Class,5,4,Late delivery,1,34.26791382,-118.6712112,Uvarovo,Rusia,Tambov
63992,2017-07-26 02:53:00,Standard Class,3,4,Advance shipping,0,33.04647064,-117.2896729,Bognor Regis,Reino Unido,Inglaterra
16969,2015-09-10 16:38:00,Standard Class,5,4,Late delivery,1,38.79660034,-90.34640503,Waterlooville,Reino Unido,Inglaterra
18120,2015-09-28 11:53:00,Standard Class,6,4,Late delivery,1,40.04056168,-74.15887451,Valencia,España,Valenciana
14544,2015-08-06 07:03:00,Standard Class,5,4,Late delivery,1,21.30562019,-157.8386993,Biarritz,Francia,Aquitania-Lemosín-Poitou-Charentes
13991,2015-07-26 05:19:00,Standard Class,2,4,Advance shipping,0,41.89614868,-87.67932892,Aix-en-Provence,Francia,Provenza-Alpes-Costa Azul
906,2015-01-16 05:03:00,Standard Class,2,4,Advance shipping,0,38.49541855,-121.479187,Santiago de Chile,Chile,Santiago de Chile
5479,2015-03-26 23:11:00,Standard Class,5,4,Late delivery,1,38.74266434,-76.9917984,Nueva Gerona,Cuba,Isla de la Juventud
51396,2017-01-22 05:57:00,Standard Class,2,4,Advance shipping,0,33.85414505,-118.191597,Mexico City,México,Distrito Federal
10116,2015-05-30 15:44:00,Standard Class,2,4,Shipping canceled,0,42.20660782,-83.1534729,Registro,Brasil,São Paulo
1756,2015-01-28 14:51:00,Standard Class,2,4,Shipping canceled,0,40.75481033,-74.1746521,San Pedro Sula,Honduras,Cortés
10014,2015-06-01 04:00:00,Standard Class,5,4,Shipping canceled,0,40.63687897,-73.94221497,Presidente Dutra,Brasil,Marañón
1991,2015-02-01 01:11:00,Standard Class,2,4,Shipping canceled,0,21.45325851,-158.0102234,Tegucigalpa,Honduras,Francisco Morazán
52533,2017-02-09 20:17:00,Standard Class,4,4,Shipping canceled,0,40.73928452,-73.99893189,Villa Canales,Guatemala,Guatemala
52533,2017-02-09 20:17:00,Standard Class,4,4,Shipping canceled,0,40.73928452,-73.99893189,Villa Canales,Guatemala,Guatemala
2332,2015-02-07 00:39:00,Standard Class,3,4,Shipping canceled,0,40.66544724,-73.94540405,Jiutepec,México,Morelos
10276,2015-06-01 23:47:00,Standard Class,2,4,Shipping canceled,0,39.27096558,-84.272995,Brumado,Brasil,Bahía
2911,2015-02-14 11:30:00,Standard Class,2,4,Shipping canceled,0,40.13446808,-87.610672,Teresópolis,Brasil,Río de Janeiro
53568,2017-02-24 22:54:00,Standard Class,4,4,Shipping canceled,0,44.72552109,-93.20613098,Guarulhos,Brasil,São Paulo
53568,2017-02-24 22:54:00,Standard Class,4,4,Shipping canceled,0,44.72552109,-93.20613098,Guarulhos,Brasil,São Paulo
25688,2016-01-14 23:18:00,Standard Class,4,4,Shipping canceled,0,33.3060379,-111.8926315,Guangzhou,China,Guangdong
48954,2016-12-20 14:24:00,Standard Class,5,4,Shipping canceled,0,21.33713913,-158.0259857,Bornova,Turquía,Izmir
25688,2016-01-14 23:18:00,Standard Class,4,4,Shipping canceled,0,33.3060379,-111.8926315,Guangzhou,China,Guangdong
47743,2016-12-01 22:08:00,Standard Class,4,4,Shipping canceled,0,43.97969818,-88.53061676,Salihli,Turquía,Manisa
45339,2016-10-28 19:55:00,Standard Class,5,4,Shipping canceled,0,39.32382965,-84.46369171,Tel Aviv,Israel,Tel Aviv
43521,2016-09-29 06:59:00,Standard Class,2,4,Advance shipping,0,40.21145248,-77.0072937,Astaná,Kazajistán,Astaná
22468,2015-11-28 23:11:00,Standard Class,4,4,Shipping on time,0,34.26791382,-118.6712112,Samarinda,Indonesia,Kalimantan Oriental
29880,2016-03-18 03:56:00,Standard Class,6,4,Late delivery,1,30.61235046,-92.12638855,Yakarta,Indonesia,Yakarta
21197,2015-11-09 09:54:00,Standard Class,3,4,Advance shipping,0,21.40107918,-157.7463837,Launceston,Australia,Tasmania
22261,2015-11-23 22:40:00,Standard Class,2,4,Advance shipping,0,36.94200516,-76.24208069,Ho Chi Minh City,Vietnam,Ciudad Ho Chi Minh
24853,2016-01-02 18:45:00,Standard Class,4,4,Shipping on time,0,37.16918945,-76.54801178,Ranchi,India,Jharkhand
23585,2015-12-17 06:31:00,Standard Class,6,4,Late delivery,1,39.75626755,-89.69435883,Antipolo,Filipinas,Calabarzón
30963,2016-03-31 23:22:00,Standard Class,4,4,Shipping on time,0,42.42877197,-82.98252869,New Plymouth,Nueva Zelanda,Taranaki
24118,2015-12-23 01:15:00,Standard Class,4,4,Shipping on time,0,39.49591446,-98.98998261,Heyuan,China,Guangdong
42287,2016-09-12 06:40:00,Standard Class,3,4,Advance shipping,0,33.4926796,-112.2088623,Saveh,Irán,Markazí
21197,2015-11-09 09:54:00,Standard Class,3,4,Advance shipping,0,21.40107918,-157.7463837,Launceston,Australia,Tasmania
21697,2015-11-16 17:04:00,Standard Class,3,4,Advance shipping,0,38.98765183,-76.98097229,Seúl,Corea del Sur,Seúl
21691,2015-11-15 14:58:00,Standard Class,2,4,Advance shipping,0,29.54194069,-95.60385132,Durg,India,Chhattisgarh
23878,2015-12-19 13:10:00,Standard Class,4,4,Shipping on time,0,41.36125946,-82.11012268,Townsville,Australia,Queensland
30214,2016-03-22 00:57:00,Standard Class,5,4,Late delivery,1,35.78998184,-78.61327362,Sydney,Australia,Nueva Gales del Sur
29871,2016-03-14 00:47:00,Standard Class,2,4,Advance shipping,0,39.33096314,-82.97971344,Makati,Filipinas,Capital Nacional
22261,2015-11-23 22:40:00,Standard Class,2,4,Advance shipping,0,36.94200516,-76.24208069,Ho Chi Minh City,Vietnam,Ciudad Ho Chi Minh
20594,2015-11-02 14:38:00,Standard Class,5,4,Late delivery,1,40.70602036,-74.08685303,Xinyi,China,Guangdong
29107,2016-03-03 21:07:00,Standard Class,3,4,Advance shipping,0,38.6803894,-120.9727783,Bangkok,Tailandia,Bangkok
21698,2015-11-17 17:25:00,Standard Class,4,4,Shipping on time,0,35.22186661,-101.8741608,Seúl,Corea del Sur,Seúl
20918,2015-11-06 08:09:00,Standard Class,4,4,Shipping on time,0,42.15800095,-84.4278183,Wollongong,Australia,Nueva Gales del Sur
29959,2016-03-18 07:37:00,Standard Class,5,4,Late delivery,1,33.92366028,-117.2291946,Lianzhou,China,Guangdong
45126,2016-10-22 17:17:00,Standard Class,2,4,Advance shipping,0,41.8728714,-87.71582031,Eskisehir,Turquía,Eskisehir
26871,2016-01-30 05:45:00,Standard Class,2,4,Advance shipping,0,29.9740696,-90.087883,Armidale,Australia,Nueva Gales del Sur
23751,2015-12-15 16:40:00,Standard Class,2,4,Advance shipping,0,26.140728,-97.66805267,Tamworth,Australia,Nueva Gales del Sur
22612,2015-11-30 01:38:00,Standard Class,3,4,Advance shipping,0,34.04558563,-118.2479172,Perth,Australia,Australia Occidental
29862,2016-03-14 21:38:00,Standard Class,3,4,Advance shipping,0,40.64674377,-73.94338989,Jambi,Indonesia,Jambi
20755,2015-11-05 23:03:00,Standard Class,6,4,Late delivery,1,39.28265762,-77.4777832,Xuzhou,China,Jiangsu
30267,2016-03-20 19:31:00,Standard Class,3,4,Advance shipping,0,39.80402374,-76.97429657,Wuhan,China,Hubei
31211,2016-04-02 14:15:00,Standard Class,2,4,Advance shipping,0,21.32156754,-157.8721771,Hobart,Australia,Tasmania
27007,2016-02-02 05:24:00,Standard Class,3,4,Advance shipping,0,40.79833603,-74.19944,Lahore,Pakistán,Punyab
46073,2016-11-07 13:04:00,Standard Class,4,4,Shipping on time,0,35.06517029,-106.6699524,Sincan,Turquía,Ankara
27007,2016-02-02 05:24:00,Standard Class,3,4,Advance shipping,0,40.79833603,-74.19944,Lahore,Pakistán,Punyab
20755,2015-11-05 23:03:00,Standard Class,6,4,Late delivery,1,39.28265762,-77.4777832,Xuzhou,China,Jiangsu
24118,2015-12-23 01:15:00,Standard Class,4,4,Shipping on time,0,39.49591446,-98.98998261,Heyuan,China,Guangdong
21691,2015-11-15 14:58:00,Standard Class,2,4,Advance shipping,0,29.54194069,-95.60385132,Durg,India,Chhattisgarh
26510,2016-01-28 23:17:00,Standard Class,6,4,Late delivery,1,33.96017456,-118.2632217,Surabaya,Indonesia,Java Oriental
43468,2016-09-30 12:25:00,Standard Class,4,4,Shipping on time,0,35.57210541,-120.9117966,Ulan Bator,Mongolia,Ulán Bator
43468,2016-09-30 12:25:00,Standard Class,4,4,Shipping on time,0,35.57210541,-120.9117966,Ulan Bator,Mongolia,Ulán Bator
31000,2016-04-03 12:19:00,Standard Class,6,4,Late delivery,1,29.96774292,-90.03494263,Christchurch,Nueva Zelanda,Canterbury
22988,2015-12-06 13:22:00,Standard Class,4,4,Shipping on time,0,40.60237885,-73.95497131,Mackay,Australia,Queensland
29993,2016-03-17 19:32:00,Standard Class,4,4,Shipping on time,0,41.50205994,-74.01177216,Yuci,China,Shanxi
28568,2016-02-26 00:17:00,Standard Class,4,4,Shipping on time,0,40.85889053,-73.93106842,Fukui,Japón,Fukui
31000,2016-04-03 12:19:00,Standard Class,6,4,Late delivery,1,29.96774292,-90.03494263,Christchurch,Nueva Zelanda,Canterbury
20773,2015-11-04 05:21:00,Standard Class,4,4,Shipping on time,0,35.18754196,-101.8676224,Caloocan,Filipinas,Capital Nacional
43640,2016-10-05 00:41:00,Standard Class,6,4,Late delivery,1,42.20007706,-84.43824005,Basra,Irak,Basora
23967,2015-12-19 20:21:00,Standard Class,3,4,Advance shipping,0,29.89742088,-90.10965729,Wuhan,China,Hubei
21016,2015-11-05 18:29:00,Standard Class,2,4,Advance shipping,0,32.6425972,-97.02174377,Belgaum,India,Karnataka
27005,2016-02-05 04:42:00,Standard Class,6,4,Late delivery,1,40.89811325,-73.85901642,Lahore,Pakistán,Punyab
25606,2016-01-11 18:34:00,Standard Class,2,4,Advance shipping,0,40.41231918,-104.6923523,Cainta,Filipinas,Calabarzón
30335,2016-03-24 19:21:00,Standard Class,6,4,Late delivery,1,33.08282852,-82.9998703,Auckland,Nueva Zelanda,Auckland
29270,2016-03-09 06:14:00,Standard Class,6,4,Late delivery,1,34.0700798,-117.9371948,Gorakhpur,India,Haryana
31269,2016-04-06 10:34:00,Standard Class,5,4,Late delivery,1,41.89603806,-87.67301941,Taupo,Nueva Zelanda,Waikato
24820,2016-01-04 07:12:00,Standard Class,6,4,Late delivery,1,41.80830002,-87.66905975,Gujranwala,Pakistán,Punyab
25847,2016-01-16 07:00:00,Standard Class,3,4,Advance shipping,0,32.84292221,-97.22615814,Aurangabad,India,Bihar
42154,2016-09-12 08:04:00,Standard Class,5,4,Late delivery,1,33.96971512,-117.3822708,Estambul,Turquía,Estambul
45036,2016-10-21 09:45:00,Standard Class,2,4,Advance shipping,0,32.7794342,-117.1718597,Ahvaz,Irán,Juzestán
45863,2016-11-04 11:30:00,Standard Class,4,4,Shipping on time,0,25.74022484,-80.36169434,Sarkand,Kazajistán,Almaty
20929,2015-11-07 12:00:00,Standard Class,5,4,Late delivery,1,42.23049164,-83.1519165,Manila,Filipinas,Capital Nacional
23464,2015-12-14 12:08:00,Standard Class,5,4,Late delivery,1,41.41943359,-81.68500519,Makati,Filipinas,Capital Nacional
44316,2016-10-10 21:31:00,Standard Class,2,4,Advance shipping,0,29.76576996,-95.37227631,Ajman,Emiratos Árabes Unidos,Ajmán
27647,2016-02-11 13:37:00,Standard Class,3,4,Advance shipping,0,39.522995,-104.9482193,Zhuhai,China,Guangdong
24878,2016-01-03 03:31:00,Standard Class,4,4,Shipping on time,0,40.1901207,-105.1010666,Bucheon,Corea del Sur,Gyeonggi
42152,2016-09-10 07:22:00,Standard Class,3,4,Advance shipping,0,38.49541855,-121.479187,Bursa,Turquía,Bursa
46401,2016-11-10 07:59:00,Standard Class,2,4,Advance shipping,0,40.66577148,-73.89246368,Estambul,Turquía,Estambul
20929,2015-11-07 12:00:00,Standard Class,5,4,Late delivery,1,42.23049164,-83.1519165,Manila,Filipinas,Capital Nacional
48844,2016-12-18 23:52:00,Standard Class,5,4,Late delivery,1,36.7805481,-76.2246933,Astaná,Kazajistán,Astaná
22481,2015-11-27 03:44:00,Standard Class,2,4,Advance shipping,0,38.98765183,-76.98097229,Guangzhou,China,Guangdong
30713,2016-03-28 07:46:00,Standard Class,4,4,Shipping on time,0,39.62960815,-104.9947433,Lismore,Australia,Nueva Gales del Sur
31018,2016-04-01 18:38:00,Standard Class,4,4,Shipping on time,0,42.13397598,-87.98233032,Nelson,Nueva Zelanda,Nelson
27005,2016-02-05 04:42:00,Standard Class,6,4,Late delivery,1,40.89811325,-73.85901642,Lahore,Pakistán,Punyab
75796,2018-01-13 10:21:00,Second Class,2,2,Shipping on time,0,28.10211754,-82.51211548,Hobart,Australia,Tasmania
75795,2018-01-17 10:00:00,Standard Class,6,4,Late delivery,1,26.140728,-97.66805267,Hobart,Australia,Tasmania
75794,2018-01-16 09:39:00,Standard Class,5,4,Late delivery,1,18.25377083,-66.0370636,Hobart,Australia,Tasmania
75793,2018-01-15 09:18:00,Standard Class,4,4,Shipping on time,0,39.83699036,-86.01907349,Yichun,China,Jiangxi
75792,2018-01-14 08:57:00,Standard Class,3,4,Advance shipping,0,18.23845291,-66.03705597,Daqing,China,Heilongjiang
75791,2018-01-13 08:36:00,Second Class,2,2,Shipping on time,0,42.00019074,-72.59646606,Daqing,China,Heilongjiang
75790,2018-01-17 08:15:00,Second Class,6,2,Late delivery,1,18.25421333,-66.03704834,Daqing,China,Heilongjiang
